,FileName,Caption
41,000000339159.jpg,A large pizza on a plate on top of a dining table.
42,000000339159.jpg,"The pizza has pepperoni, olives, and peppers on it."
43,000000339159.jpg,Large multiple topping pizza sitting on a metallic tray in restaurant. 
44,000000339159.jpg,A pan of pizza sitting on a dinner table.
45,000000339849.jpg,a view inside of a house thru a window in the kitchen
46,000000339849.jpg,A window with a basket of tomatoes in view
47,000000339849.jpg,A window looks into a kitchen and dining area.
48,000000339849.jpg,A window into a kitchen with a bowl of oranges.
49,000000339849.jpg,Oranges are sitting in a bowl on a table.
50,000000228309.jpg,A puppy laying on a purple blanket on a bed.
51,000000228309.jpg,a black puppy laying on a couch 
52,000000228309.jpg,A cute puppy curiously looks to see whats going on.
53,000000228309.jpg,A puppy relaxing on a bed with a bone on underneath the blanket.
54,000000228309.jpg,A dog sits on a blanket on a couch.
55,000000352377.jpg,A close up of green apples with other fruit out of focus in the background
56,000000352377.jpg,Bright green apples are are displayed with other produce in the background.
57,000000352377.jpg,Some apples are sitting in a pile near oranges and other fruit.
58,000000352377.jpg,Green apples sit piled up with other produce in the background.
59,000000352377.jpg,A close up of apples in the produce sections with other fruits in background.
60,000000381972.jpg,Curious cat in a home hallway with a background of packed belongings.
61,000000381972.jpg,A passage where cardboard boxes are kept and a cat is roaming inside.
62,000000381972.jpg,The cat is wandering around in front of the cardboard boxes.
63,000000381972.jpg,an image of a cat walking in the kitchen
64,000000381972.jpg,a gray and white kitty walking among boxes
65,000000180609.jpg,A man riding skis down the side of a snow covered slope.
66,000000180609.jpg,A skier skiing down a tree dotted mountainside.
67,000000180609.jpg,a snow skier in a black top is coming down a hill
68,000000180609.jpg,A person skiing down a hill in the middle of a snowy field.
69,000000180609.jpg,A person going down a hill on snow skis.
70,000000164095.jpg,A zebra and an elephant investigating each other in a grassy area.
71,000000164095.jpg,a giraffe and a zebra stare at each other 
72,000000164095.jpg,A giraffe standing next to a zebra in a forest.
73,000000164095.jpg,A giraffe is looking down at a zebra.
74,000000164095.jpg,a giraffe looking down at a zebra in a wooded field.
75,000000179860.jpg,A large passenger jet sitting on top of an airport tarmac.
76,000000179860.jpg,Many airport employees work around a plane on a runway.
77,000000179860.jpg,A red and white jet airliner with group moving about in front.
78,000000179860.jpg,An airplane in a hanger while people stand around it.
79,000000179860.jpg,A jumbo jet in an airport during the day.
80,000000265315.jpg,A brown teddy bear riding on the handlebars of a bike.
81,000000265315.jpg,A teddy bear is on a bike with other toys.
82,000000265315.jpg,a brown teddy bear and some other toys on a bicycle
83,000000265315.jpg,"A motorbike is decorated with a plus bear, horn, and other toys."
84,000000265315.jpg,A teddy bear sits on a back with other toys.
85,000000412855.jpg,traffic lights a stop sign and street lights
86,000000412855.jpg,Street lamps shining over a street at night.
87,000000412855.jpg,A long term exposure of a intersection in a city
88,000000412855.jpg,A traffic intersection at night with many street lamps lit.
89,000000412855.jpg,Street lights and stop lights light up the night sky.
90,000000369125.jpg,A FIREFLY REMOTE CONTROL AND PENS PLACED NEXT TO A KEYBOARD
91,000000369125.jpg,"a keyboard, two ink pens a remote and some toenail clippers"
92,000000369125.jpg,Firefly remote sitting on a wooden desk by a keyboard.
93,000000369125.jpg,a close up of a remote control on a desk
94,000000369125.jpg,A remote control is sitting on a table
95,000000186245.jpg,A boston terrier dog standing on the grass with a toy in front of it.
96,000000186245.jpg,A black and white bull dog playing on the green grass on a sunny day.
97,000000186245.jpg,A dog is standing in the grass by its toy.
98,000000186245.jpg,A little bulldog with a Frisbee standing in the grass.
99,000000186245.jpg,A small Boston terrier standing in grass with a  toy nearby.
100,000000181524.jpg,A gas station and a traffic light. 
101,000000181524.jpg,A CITGO station is shown at the corner of the street.
102,000000181524.jpg,a store on a corner of a busy street
103,000000181524.jpg,Gas prices remain between $3 and $4 per gallon.
104,000000181524.jpg,A picture of a stoplight and a gas station.
105,000000148403.jpg,A clock tower next to a building and trees.
106,000000148403.jpg,a clock tower near a building with trees near by
107,000000148403.jpg,The building has a tower that displays a clock.
108,000000148403.jpg,an image of a large building in the air
109,000000148403.jpg,The large red building has a clock tower on the side.
110,000000381265.jpg,A shore is littered with a few birds as the ocean sits in the distance.
111,000000381265.jpg,A man using a kite in the water near a grassy shore.
112,000000381265.jpg,A body of water with a city in the distance.
113,000000381265.jpg,People are para-sailing in the waters off this shoreline; a city looms in the distant background.
114,000000381265.jpg,A painting of waves upon an ocean with tall grass and gold flowers
115,000000523682.jpg,A computer and keyboard sitting on top of several books.
116,000000523682.jpg,A pile of books in stacked on a desk.
117,000000523682.jpg,a table that has a bunch of books on it
118,000000523682.jpg,computer desk with a keyboard on top of two stacks of books
119,000000523682.jpg,"A table with stacks of books on it with a mouse, keyboard and a monitor on top of them."
120,000000244666.jpg,A white vase sitting on top of a wooden table.
121,000000244666.jpg,a big white vase is near by three small ones. 
122,000000244666.jpg,A large white ceramic vase is positioned in front of small ceramic watering cans.
123,000000244666.jpg,White vase stands alone if front of three small vases.
124,000000244666.jpg,A white vase of the floor with three smaller ones in the background.
125,000000294087.jpg,Trick elephant standing on a small stool while twirling a hula hoop/
126,000000294087.jpg,Elephant standing on a stool with a hoop on its trunk.
127,000000294087.jpg,An elephant standing on a small support and catching a ring with its trunk.
128,000000294087.jpg,An elephant on a stool on its hind legs spinning a hool-a-hoop.
129,000000294087.jpg,A elephant walking through a tree filled park.
130,000000144884.jpg,Three different size vases sitting side by side. 
131,000000144884.jpg,Three colorful vases with a flower in each sit on a flat surface.
132,000000144884.jpg,The three small cases can hold a small flower each. 
133,000000144884.jpg,Three vases with flowers on top of each vase.
134,000000144884.jpg,A group of three vases sitting on top of a table.
135,000000269109.jpg,A city street sign on the corner of a street.
136,000000269109.jpg,That looks like a stop sign without the word stop on it.
137,000000269109.jpg,A street light with signs posted to it.
138,000000269109.jpg,This is a city intersection lined with tall buildings. 
139,000000269109.jpg,A city street with tall stone buildings and street sign.
140,000000161333.jpg,A group of kids that are playing ruby in a field.
141,000000161333.jpg,A group of young men playing a game of frisbee on field.
142,000000161333.jpg,A group of young men playing a game of football.
143,000000161333.jpg,A boy carrying a rugby ball past some other boys chasing him.
144,000000161333.jpg,Children in striped shirts are running with a football.
145,000000127937.jpg,A cute dog is sitting with his pink stuffed toy.
146,000000127937.jpg,A small size dog is laying next to the window and posing for a picture. 
147,000000127937.jpg,"A dog sitting on a pile of covers, clothes and a teddy bear."
148,000000127937.jpg,A small brown and white dog lying by a window with its toy.
149,000000127937.jpg,A DOG IS LYING DOWN IN THE HOUSE LOOKING AT SOMETHING
150,000000243967.jpg,a computer that has a keyboard and a mouse
151,000000243967.jpg,A computer desk with a computer keyboard and a mouse with a mouse holder.
152,000000243967.jpg,A computer desk with a keyboard and a monitor.
153,000000243967.jpg,A laptop keyboard in front of a monitor.
154,000000243967.jpg,"A computer, keyboard and mouse sit on a desk."
155,000000284824.jpg,A man riding a wave on top of a surfboard.
156,000000284824.jpg,THERE IS A CHILD THAT IS ON THE SURF BOARD IN THE WATER
157,000000284824.jpg,A young boy on all fours riding a surfboard ion a small wave.
158,000000284824.jpg,A person is riding on a wake board while the waves roll in.
159,000000284824.jpg,A little boy that is on a surfboard in the water.
160,000000022799.jpg,A man is moving to return a tennis ball
161,000000022799.jpg,A man dressed in white is getting ready to take a swing at a tennis ball.
162,000000022799.jpg,A tennis player on the court stepping backwards in preparation to swing
163,000000022799.jpg,A young man holding a tennis racquet during a tennis match.
164,000000022799.jpg,A male tennis player playing on a grass court.
165,000000353594.jpg,A tiger striped cat sitting in front of a laptop computer.
166,000000353594.jpg,A cat is sitting on the bed next to the laptop computer.
167,000000353594.jpg,A cat sits in front of the laptop computer.
168,000000353594.jpg,A cat lies on a bedspread with an open laptop behind.
169,000000353594.jpg,A cat laying on a bed next to a laptop.
170,000000451337.jpg,Two chairs are in front of the fireplace near a stairwell.
171,000000451337.jpg,The living room in an upper-middle class home.
172,000000451337.jpg,A chair sitting in a living room next to a stair case.
173,000000451337.jpg,a living room with chairs and a fireplace and a stair case
174,000000451337.jpg,A living room with chairs is next to the stairs.
175,000000043931.jpg,A woman gliding in the ocean on top of a surfboard.
176,000000043931.jpg,A young girl in a purple wet suit riding a surfboard in the ocean.
177,000000043931.jpg,A woman laying on her stomach on a surfboard
178,000000043931.jpg,A women close to the shore laying on her surfboard in the water
179,000000043931.jpg,A closeup of a woman surfing back towards the shore
180,000000013944.jpg,A man is repairs a traffic light from a crane on top of a truck and a car next to it
181,000000013944.jpg,A street scene with workers fixing the traffic light. 
182,000000013944.jpg,A city worker repairing a traffic light next to a power pole.
183,000000013944.jpg,Man on a bucket truck working on traffic signal support.
184,000000013944.jpg,a city worker is repairing a stop light.
185,000000557183.jpg,A group of box trucks moves in a line
186,000000557183.jpg,Seven trucks proceed single file down a street in procession.
187,000000557183.jpg,a line of white trucks moving down a street.
188,000000557183.jpg,a lot of trucks in a line behind one another
189,000000557183.jpg,A fleet of trucks driving in a convoy on the street.
190,000000470381.jpg,A group of soldiers sitting around eating pizza.
191,000000470381.jpg,A room full of American soldiers eating pizza.
192,000000470381.jpg,A group of soldiers are in a room talking and eating pizza.
193,000000470381.jpg,Men in uniform are sitting around eating pizza.
194,000000470381.jpg,Group of soldiers sitting in office eating pizza.
195,000000028022.jpg,A toilet is just inside a bathroom doorway.
196,000000028022.jpg,Shot inside a plain bathroom from entrance with toilet nearest door.
197,000000028022.jpg,A bathroom that has a small divider from the shower.
198,000000028022.jpg,a walled of shower is next to a toilet in a bathroom
199,000000028022.jpg,Open door to white tiled bathroom with toilet.
200,000000085802.jpg,a person is wearing goggles while carrying his skiis
201,000000085802.jpg,A man with his skis on his shoulder under a ski lift on the slopes
202,000000085802.jpg,A man is pictured on a ski mountain holding his skis.
203,000000085802.jpg,A man that has a ski over his shoulder.
204,000000085802.jpg,The man is wearing goggles and carrying skis.
205,000000561131.jpg,A line of cross country skiers on a snowy trail.
206,000000561131.jpg,Two cross country skiers traveling across the snow.
207,000000561131.jpg,Two people are cross country skiing in a clearing with snow-covered trees.
208,000000561131.jpg,People walking along snow and trees with skis on.
209,000000561131.jpg,People riding skis up a ski slope on snow covered ground.
210,000000514628.jpg,A boat with umbrellas is tied up on the beach.
211,000000514628.jpg,A large boat sitting on top of a beach.
212,000000514628.jpg,A tropical island boat will take tourists out to sea.
213,000000514628.jpg,A boat that is anchored by the beach.
214,000000514628.jpg,A boat holding umbrellas is anchored on a beach.
215,000000330719.jpg,A man riding a snowboard down a snow covered slope.
216,000000330719.jpg,Skateboarder sitting on obstacle on a ski slope.
217,000000330719.jpg,A guy sits on a bench with his snow board. 
218,000000330719.jpg,A person on a skateboard sits on a rail.
219,000000330719.jpg,A snowboarder sitting on a ramp in the snow
220,000000222587.jpg,A view of a street sign and a street.
221,000000222587.jpg,A crosswalk at a busy intersection say don't walk.
222,000000222587.jpg,The lighted sign saying don't walk is below the street sign on the corner.
223,000000222587.jpg,A crosswalk sign tells pedestrians to stop walking.
224,000000222587.jpg,a city corner with a sign for O' Farrell street and a no crossing signal
225,000000194722.jpg,A plane flying over the water off the coast
226,000000194722.jpg,Biplane flying over blue ocean next to coastline.
227,000000194722.jpg,A small airplane flying over the ocean during the day.
228,000000194722.jpg,A biplane is flying over a rocky shore line.
229,000000194722.jpg,The plane is flying over the ocean in clear skies.
230,000000220835.jpg,A person standing next to a sofa in front of a television. 
231,000000220835.jpg,A woman is playing a video game in the living room
232,000000220835.jpg,A woman is in a room playing Wii bowling. 
233,000000220835.jpg,a person in a living room playing nintendo wii 
234,000000220835.jpg,A barefoot woman plays Wii in a tiled living room.
235,000000263784.jpg,"A bathroom with a toilet, tub and a bucket in the tub. "
236,000000263784.jpg,a batroom with black walls and a big tub 
237,000000263784.jpg,a bath room with a toilet and a bath tub 
238,000000263784.jpg,There is a bathroom with an old bathtub and toilet.
239,000000263784.jpg,a black seat on a toilet in a bathroom
240,000000123013.jpg,A woman standing next to a tree holding a pink frisbee.
241,000000123013.jpg,Woman with pink flying disc in park area.
242,000000123013.jpg,The woman is about ready to throw the pink Frisbee. 
243,000000123013.jpg,A young lady outside playing with a disc.
244,000000123013.jpg,A woman in a green tank top holds a pink Frisbee.
245,000000058735.jpg,A parking meter next to a parked car.
246,000000058735.jpg,A digital parking meter obscures a car behind it.  
247,000000058735.jpg,A parking meter on the street in front of a car.
248,000000058735.jpg,A black car parked at a parking meter.
249,000000058735.jpg,A parking meter is counting down the time left for a parked vehicle.
250,000000429679.jpg,"A feast of meat, potatos, and veggies on a plate"
251,000000429679.jpg,A wooden plate topped with sliced meat and vegetables.
252,000000429679.jpg,A PLATE OF MEATS AND POTATOES AND VEGETABLES 
253,000000429679.jpg,A pork roast with greens and potato side dish
254,000000429679.jpg,A wooden plate with different types of food on it.
255,000000523123.jpg,a white table with glasses and red white and orange flowers
256,000000523123.jpg,A table with a wedding bouquet and bridesmaids flowers on it.
257,000000523123.jpg,a table top with a bunch of flowers on top of it 
258,000000523123.jpg,A tables filled with several bouquets of flowers.
259,000000523123.jpg,Their are some flowers on the table with some glass.
260,000000180071.jpg,A person laying back in a body of water while holding an umbrella reading a book.
261,000000180071.jpg,A man floating on his back in the water while holding an umbrella and reading a book.
262,000000180071.jpg,A man sits in a lake reading a book under an umbrella.
263,000000180071.jpg,A man sitting in a large body of water with a book and umbrella.
264,000000180071.jpg,a man lays in the ocean with an umbrella
265,000000252807.jpg,A dog standing on top of a hillside next to two men.
266,000000252807.jpg,A couple of men that are sitting in the grass.
267,000000252807.jpg,Two people sear on the edge of a cliff overlooking a winding road with a dog nearby.
268,000000252807.jpg,Two people sitting on a hill next to a goat. 
269,000000252807.jpg,Two men are on a hilltop with their white dog.
270,000000421384.jpg,Young male being funny brushing teeth making a face and wearing pink and white bunny ears on head.
271,000000421384.jpg,A man brushing his teeth in the mirror wearing bunny ears.
272,000000421384.jpg,A man with bunny ears is brushing his teeth in a mirror.
273,000000421384.jpg,Comical scene of man in bunny ears brushing his teeth in a bathroom.
274,000000421384.jpg,A crazed man with bunny ears is brushing his teeth rapidly with a pink tooth brush.
275,000000240521.jpg,A beautiful woman embracing a man in a room.
276,000000240521.jpg,A man and woman smile while hugging each other.
277,000000240521.jpg,"A man, and woman dressed in white engage in an embrace."
278,000000240521.jpg,A man and woman in white hugging each other.
279,000000240521.jpg,A man and a women embracing for a picture.
280,000000131918.jpg,A boat that is sitting in the water.
281,000000131918.jpg,A harbor filled with lots of small boats.
282,000000131918.jpg,"A green boat at a port, mountains in the distance."
283,000000131918.jpg,A boat traveling down the water in the harbor.
284,000000131918.jpg,Several boats in the water near mountains of snow.
285,000000191577.jpg,An old woman holding a smart phone while wearing a green jacket.
286,000000191577.jpg,an old lady excited over looking at a cell phone
287,000000191577.jpg,An old woman is smiling and looking at a cell phone.
288,000000191577.jpg,A surprised older woman looks at a cell phone. 
289,000000191577.jpg,An older woman laughs while looking at a cell phone.
290,000000262707.jpg,A boy hitting a baseball with a bat in a field.
291,000000262707.jpg,A boy in red shirt swing a baseball bat.
292,000000262707.jpg,A young boy has hit a baseball for his team.
293,000000262707.jpg,A little boy swinging a bat at a baseball
294,000000262707.jpg,A small kid in a red shirt swinging a baseball bat.
295,000000380057.jpg,Many posters are placed on a wall near a busy street.
296,000000380057.jpg,"People are holding signs, maybe protesting, next to traffic. "
297,000000380057.jpg,a street sign on a busy city street
298,000000380057.jpg,a crowded street filled with people and their signs
299,000000380057.jpg,People holding signs on a one way street.
300,000000395840.jpg,A person holding a phone in their right hand.
301,000000395840.jpg,They are trying to look at their phone in the dark.
302,000000395840.jpg,"Cell phone in the dark, displaying an image."
303,000000395840.jpg,Someone holding up a mobile phone while playing a game.
304,000000395840.jpg,In the dark a cell phone is glowing blue and green.
305,000000456678.jpg,"Two dining chairs, a table, and a clock on the wall."
306,000000456678.jpg,A chair and a table against a stone wall with a red clock and decorations on display.
307,000000456678.jpg,A blue table with blue chairs next to a wall with a clock.
308,000000456678.jpg,Two blue chairs are sitting diagonally one in front of the other instead of being positioned around the table.
309,000000456678.jpg,Two blue chairs sitting next to a blue wooden table.
310,000000334285.jpg,a few red roses that are in a cup
311,000000334285.jpg,A metal plate and a vase of flowers.
312,000000334285.jpg,Vase of flowers next to some silver dishes on a table.
313,000000334285.jpg,A table with a vase holding three roses.
314,000000334285.jpg,A silver serving tray is displayed with condiments and a vase with roses in it.
315,000000272870.jpg,A tview of a living room with fold out bed.
316,000000272870.jpg,A wood themed bedroom with a hunting/sporting theme with an outdoor balcony.
317,000000272870.jpg,A sofa bed is pulled out for guests with a deer head staring down at the bed.
318,000000272870.jpg,A rustic bedroom with a deer head on the wall.
319,000000272870.jpg,a bedroom with a fireplace and a walking glass entrance.
320,000000482889.jpg,"An older woman standing talking on a cell phone.
"
321,000000482889.jpg,An older woman talks on her cellular phone.
322,000000482889.jpg,A woman wearing a jacket is talking on a phone.
323,000000482889.jpg,A lady in a winter coat talking on a cell phone.
324,000000482889.jpg,A middle aged woman talking on a cell phone.
325,000000372156.jpg,Two cakes sitting on trays shaped like trains.
326,000000372156.jpg,Tow cakes resembling the engine of a train.
327,000000372156.jpg,Two cakes are decorated as identical trains for a birthday.
328,000000372156.jpg,There are two cakes that look like trains on a table.
329,000000372156.jpg,Two cakes shaped like trains are on gold foil.
330,000000555701.jpg,A large clock that is on the top half of a building.
331,000000555701.jpg,A clock tower over an alleyway in a city.
332,000000555701.jpg,It is about 10:20 on the elegant clock tower.
333,000000555701.jpg,An old black and gold clock is on a tower above another intricate clock.
334,000000555701.jpg,A clock tower that acts as a canopy for a little bit. 
335,000000551877.jpg,A white sink with a metal faucet above it.
336,000000551877.jpg,A kitchen sink counter full of beer bottles.
337,000000551877.jpg,A sink area with various beer bottles and a dog food bowl.
338,000000551877.jpg,A sink with dishes in it and lined by various bottles.
339,000000551877.jpg,Many bottle line a kitchen sink in a kitchen. 
340,000000114917.jpg,A man making a pizza under a glass screen
341,000000114917.jpg,A man at a restaurant smiling while preparing pizzas.
342,000000114917.jpg,A man in white shirt preparing pizzas on an assembly line.
343,000000114917.jpg,A smiling chef making fresh pizzas in a restaurant
344,000000114917.jpg,A smiling man placing toppings on a pizza.
345,000000275707.jpg,A group of people standing around each other while holding umbrellas.
346,000000275707.jpg,A group of Asian people standing on the street corner
347,000000275707.jpg,there are many people standing o the street together
348,000000275707.jpg,A couple of people in the crowd are holding umbrellas. 
349,000000275707.jpg,a bunch of people are standing around with umbrellas
350,000000178996.jpg,Man standing in a doorway with his hands near his pockets.
351,000000178996.jpg,A man dressed casually posing in a hall way.
352,000000178996.jpg,A man standing with his thumbs in his pockets in front of a door.
353,000000178996.jpg,A man posing for a picture in front of a white background.
354,000000178996.jpg,A man stands against the wall with his hands in his pockets
355,000000418726.jpg,"Someone is stocking up on cool summer treats, a case of root beer and a case of freezer pops."
356,000000418726.jpg,a box of soda and Popsicle sitting on the ground in front of a fridge
357,000000418726.jpg,There is a case of soda with a case of Arctic Pops stacked on top of it.
358,000000418726.jpg,A small refrigerator has crackers and soda in it.
359,000000418726.jpg,A case of ice treats and soda beside a small refrigerator.
360,000000211713.jpg,A pitcher pitching the ball to a batter
361,000000211713.jpg,A black and white photo taken during a baseball game. 
362,000000211713.jpg,A crowd of people watching a baseball game taking place.
363,000000211713.jpg,A view of a baseball game being played on a field in a stadium.
364,000000211713.jpg,A black and white picture of a baseball game.
365,000000549237.jpg,Young boys on a soccer field chase after a ball.
366,000000549237.jpg,two children trying to control a soccer ball
367,000000549237.jpg,A group of children playing soccer on a grassy field.
368,000000549237.jpg,Several kids playing soccer with a green ball on a grassy field.
369,000000549237.jpg,A group of kids are playing soccer on a soccer field. 
370,000000271359.jpg,there is a cow and people in the street
371,000000271359.jpg,A cow and two pass each other on a crowded street.
372,000000271359.jpg,A horse walking down a street next to people.
373,000000271359.jpg,A market place that has a donkey walking in the middle of it.
374,000000271359.jpg,a animal that is walking in a crowd of people
375,000000372943.jpg,A young man holding a foot ball in his hands.
376,000000372943.jpg,A football player hands the ball to another player. 
377,000000372943.jpg,A man handing a football to another person and wearing a uniform.
378,000000372943.jpg,This is a picture of a football player handing off a football to another player.
379,000000372943.jpg,Young men in uniforms and helmets are playing football.
380,000000042779.jpg,A brown hamster standing on a hair brush.
381,000000042779.jpg,A small fuzzy animal sitting on brushes on a lap
382,000000042779.jpg,A small ferret is sitting near brushes on someone's lap.
383,000000042779.jpg,A small furry animal sits on a persons lap.
384,000000042779.jpg,A hampster sitting on a lap next to a brush.
385,000000140940.jpg,an old photo of baseball players standing with bats
386,000000140940.jpg,a old black and white picture of a baseball team
387,000000140940.jpg,Several players in uniforms holding baseball bats in their hands.
388,000000140940.jpg,Some baseball players are gathering in a meeting. 
389,000000140940.jpg,"A team of baseball players, all in uniforms marked J, pose for a photo in a field."
390,000000426149.jpg,A group of people play video games at a party
391,000000426149.jpg,Several people standing and playing video games while another is disk jockeying.
392,000000426149.jpg,a dj and two people playing nintendo wii
393,000000426149.jpg,Two men are playing Wii in a small room.
394,000000426149.jpg,People that appear to be male in a room looking at something.
395,000000203671.jpg,The man riding the horse is in uniform.
396,000000203671.jpg,A man sitting on the back of a brown horse.
397,000000203671.jpg,A man in a black and red uniform sitting on a horse talking to another man.
398,000000203671.jpg,Man in black coat and red and black hat sitting on a brown horse in town.
399,000000203671.jpg,a man in a uniform is riding on a horse
400,000000364190.jpg,One slice is taken from the thick crust pizza. 
401,000000364190.jpg,An apple pie missing one slice with a plate of spices.
402,000000364190.jpg,an apple pie with some forks beside it 
403,000000364190.jpg,A pie with a slice missing sitting on top of a table.
404,000000364190.jpg,a home made pizza sits on a trey 
405,000000385586.jpg,A large boat traveling slowly trough a harbor.
406,000000385586.jpg,A ship heads towards shore on a clear day.
407,000000385586.jpg,A boat is in the ocean near some trees.
408,000000385586.jpg,an orange and white  boat sailing in a body of water.
409,000000385586.jpg,a large boat in a large body of water
410,000000515075.jpg,Several soccer players stand on a field between plays. 
411,000000515075.jpg,Two teams standing in a feild playing a soccer game.
412,000000515075.jpg,Red and blue uniformed soccer players in a soccer field.
413,000000515075.jpg,A soccer player about to kick the ball during the game.
414,000000515075.jpg,A group of men on a soccer field kicking the ball
415,000000510225.jpg,"A bathroom with a toilet, sink and shower."
416,000000510225.jpg,A small white bathroom with tiled walls and floor.
417,000000510225.jpg,a bath room with a shower and a mirror 
418,000000510225.jpg,a white bathroom with a big mirror on the wall
419,000000510225.jpg,A light is illuminating a bathroom with a standup shower
420,000000360570.jpg,a women that is walking a dog down the street
421,000000360570.jpg,A woman walking a dog down a sidewalk.
422,000000360570.jpg,A young woman walking a small dog on a city sidewalk.
423,000000360570.jpg,A women with pink and black hair walking her dog.
424,000000360570.jpg,A young woman with black and red hair walking a small dog down a sidewalk.
425,000000524916.jpg,A small ceramic hole is used as a toilet in the concrete room.
426,000000524916.jpg,Wooden cement block with an area for cleaning.
427,000000524916.jpg,A urinal and other white blocks on a dirty floor.
428,000000524916.jpg,A very wet and dirty concrete floor with multiple drains in it.
429,000000524916.jpg,Three white objects are set on a dirty ground.
430,000000243558.jpg,Shop owner stands by his oranges and other fruit while waiting for customers
431,000000243558.jpg,An open market has produce in wooden boxes.
432,000000243558.jpg, A market area with people and many crates of fruit.
433,000000243558.jpg,Boxes of fruit at an outdoor market in a narrow street.
434,000000243558.jpg,An open air farmers market with all kinds of fruits and vegetables.
435,000000236189.jpg,An adult woman playing a game of frisbee with a little girl.
436,000000236189.jpg,A young child holding a frisbee and posing in a throwing motion with a woman across from her.
437,000000236189.jpg,A child getting ready to throw a frisbee to an adult.
438,000000236189.jpg,"There is a picture of an outside area.
"
439,000000236189.jpg,There is a little girl throwing a frisbee with a woman
440,000000127120.jpg,A MAN IS ON STAGE SINGING WHILE SOMEONE HANDS HIM A BEAR
441,000000127120.jpg,A man holding a microphone up to his face.
442,000000127120.jpg,A fan gives a teddy bear as a gift to the singer.
443,000000127120.jpg,A man on stage being handed a teddy bear 
444,000000127120.jpg,a man is talking in to a microphone on stage
445,000000333605.jpg,A row of parking meters sitting in a park.
446,000000333605.jpg,silver meters placed in a grassy area next to evergreen trees
447,000000333605.jpg,A large number of parking meters displayed in a lawn.
448,000000333605.jpg,There are a bunch of abstractly decorated parking meter set outside in a park.
449,000000333605.jpg,A row of parking meters in grassy area next to trees.
450,000000198004.jpg,A car is waiting beside people standing on the sidewalk.
451,000000198004.jpg,The man is standing on the side walk 
452,000000198004.jpg,A man stands next to a building as a car pulls out towards the street.
453,000000198004.jpg,A car at a crosswalk with a man in uniform standing by.
454,000000198004.jpg,a car is rolling past a police officer
455,000000308388.jpg,Traffic drives down a street on a green light passed tall buildings.
456,000000308388.jpg,A traffic light above a street next to a tall building.
457,000000308388.jpg,Large dome building sitting behind a city street. 
458,000000308388.jpg,A picture of a road and a green stop light.
459,000000308388.jpg,View of a partially shaded city street with autumn leaves.
460,000000311007.jpg,An older woman walks in the rain with her umbrella.
461,000000311007.jpg,A woman carrying an umbrella and walking in the rain.
462,000000311007.jpg,A woman in a raincoat carrying an umbrella in the rain.
463,000000311007.jpg,an old lady that looks soaking wet yet under an umbrella
464,000000311007.jpg,a woman under an umbrella walking down the sidewalk on a rainy day
465,000000065865.jpg,Several birds flying over a large body of water.
466,000000065865.jpg,a couple of birds fly over a lake 
467,000000065865.jpg,Flock of water fowl begin landing on a lake.  
468,000000065865.jpg,Birds lying above the water that is surrounded by trees.
